#{"t_start": 1622666921.248959, "env_id": null}
r,l,t
64.064806,13,1020.275696
54.342065,12,1021.234785
66.330816,13,1022.252331
73.714713,15,1023.390501
79.257654,16,1024.646517
55.051044,10,1025.426764
74.137182,14,1026.558719
44.297042,10,1027.347275
34.422747,7,1027.914905
49.41839,11,1028.797939
54.235503,12,1029.761159
39.376444,9,1030.464022
44.418106,10,1031.234161
54.256446,12,1032.164503
83.215901,15,1033.37504
49.512829,9,1034.111787
69.068955,15,1035.293168
85.971188,16,1036.55205
73.742949,15,1037.742635
39.368567,8,1038.391024
49.307153,10,1039.195492
98.804395,18,1040.539423
44.362222,10,1041.323256
49.120392,10,1042.119352
87.382786,16,1043.363855
48.523052,9,1044.071014
48.7929,10,1044.879691
56.361552,10,1045.66952
49.296075,11,1046.510473
34.440997,8,1047.160826
54.137598,11,1047.994345
68.957526,14,1049.109021
34.386471,7,1049.69524
101.77885,19,1051.181734
82.675129,14,1052.311039
49.273323,10,1053.126072
53.638091,10,1053.880949
44.250099,10,1054.668039
39.382443,8,1055.395199
44.264886,9,1056.118942
90.099073,16,1057.350815
59.052325,10,1058.158751
49.209848,11,1059.031661
54.338071,12,1059.997699
77.104899,16,1061.257248
127.768727,26,1063.208541
44.225452,9,1063.927853
502.625025,101,1070.798527
73.946641,15,1072.004988
83.804222,18,1073.416069
49.310846,11,1074.264765
68.974235,14,1075.359747
34.52575,8,1076.002105
49.366299,11,1076.837455
54.135071,11,1077.693613
68.911263,14,1078.815258
44.354157,10,1079.601916
49.175652,11,1080.464643
39.242883,8,1081.092113
67.831092,13,1082.110525
34.448293,8,1082.738897
59.263169,13,1083.768581
73.917804,16,1084.980015
48.203417,10,1085.78002
44.340111,9,1086.503873
77.145791,15,1087.69986
49.255536,10,1088.515851
54.177809,11,1089.369653
39.45707,9,1090.09479
73.953909,16,1091.346005
102.758549,20,1092.922003
74.029048,15,1094.121185
44.248898,9,1094.833937
77.243284,16,1096.118516
44.230163,10,1096.928144
54.245862,11,1097.864621
34.523267,8,1098.491163
108.617197,21,1100.166704
69.094915,15,1101.362767
48.417482,10,1102.130469
103.832949,22,1103.803964
59.085383,12,1104.780348
39.458762,9,1105.480901
79.413916,14,1106.564302
